iter	Logloss
0	0.619566496
1	0.5548744499
2	0.4962286302
3	0.4435105633
4	0.3985194462
5	0.3574992603
6	0.3247091618
7	0.2918757702
8	0.2636242754
9	0.2373010412
10	0.2134362098
11	0.1941049017
12	0.1763028177
13	0.1607171246
14	0.1453637113
15	0.1319701817
16	0.1212382752
17	0.1120827592
18	0.1037150149
19	0.09489582963
20	0.08921865338
21	0.08215010436
22	0.07607103167
23	0.07150724385
24	0.06640784448
25	0.0619982049
26	0.05813596407
27	0.05419203003
28	0.05070397918
29	0.04745083289
30	0.04463277081
31	0.04191082512
32	0.03955267762
33	0.03709437063
34	0.03493324262
35	0.03305819297
36	0.0310349709
37	0.02948309719
38	0.02789988392
39	0.02645411605
40	0.02514569302
41	0.02377269115
42	0.02259662366
43	0.02151760524
44	0.02039105715
45	0.0194424032
46	0.01859499298
47	0.01778231007
48	0.01709013137
49	0.01640436352
50	0.01570752543
51	0.01500289755
52	0.01445450382
53	0.01396311517
54	0.01340527758
55	0.01299154621
56	0.01259128959
57	0.01222730968
58	0.01180828658
59	0.01141625755
60	0.01107207437
61	0.01073881624
62	0.01043217645
63	0.01014955904
64	0.009848626121
65	0.009581180728
66	0.009313006913
67	0.00905294308
68	0.008802073485
69	0.008584820606
70	0.008362326821
71	0.008149841367
72	0.00789272609
73	0.007699612626
74	0.007512393928
75	0.007327510138
76	0.007125912681
77	0.006923071638
78	0.006725262206
79	0.006576295575
80	0.006449365058
81	0.00630399442
82	0.006176029719
83	0.006049194926
84	0.005930549903
85	0.005833430986
86	0.005704501849
87	0.005587681616
88	0.005428302657
89	0.005320078363
90	0.005205759369
91	0.005108504875
92	0.00502067614
93	0.004942314289
94	0.004848400883
95	0.004748362053
96	0.004677530708
97	0.00459021786
98	0.004510953461
99	0.004439340675
100	0.004374811425
101	0.004310414951
102	0.004254181642
103	0.004183655726
104	0.004124319879
105	0.004059180795
106	0.003988491791
107	0.003928050413
108	0.003878179309
109	0.003794424385
110	0.003742145142
111	0.003686356561
112	0.003640240193
113	0.00359459874
114	0.003549162055
115	0.003500611149
116	0.00345413038
117	0.003409360719
118	0.003365943779
119	0.003326914213
120	0.003285439613
121	0.00324977658
122	0.003210486601
123	0.003171350924
124	0.003135134333
125	0.003099468032
126	0.003064363431
127	0.003023838069
128	0.002983401004
129	0.002950283978
130	0.002918292943
131	0.002886989693
132	0.002847919999
133	0.002815655575
134	0.002786204942
135	0.002754591975
136	0.002718435283
137	0.002692836308
138	0.00266137548
139	0.002629999449
140	0.002604039087
141	0.002582255567
